"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보(x)","좌표정보(y)","문화체육업종명","문화사업자구분명","총층수","주변환경명","제작취급품목내용","시설면적","지상층수","지하층수","건물용도명","통로너비","조명시설조도","노래방실수","청소년실수","비상계단여부","비상구여부","자동환기여부","청소년실여부","특수조명여부","방음시설여부","비디오재생기명","조명시설유무","음향시설여부","편의시설여부","소방시설여부","총게임기수","기존게임업외업종명","제공게임물명","공연장형태구분명","품목명","최초등록시점","지역구분명",
"3057","영화상영관","03_13_02_P","5220000","CDFF4220002021000002","20210226","","01","영업/정상","13","영업중","","","","","02-3490-9363","","","경상북도 칠곡군 석적읍 포남리 608 칠곡호이영화관및청소년문화의집","경상북도 칠곡군 석적읍 석적로 646, 칠곡호이영화관및청소년문화의집","39848","칠곡호이영화관(씨네Q) 2관","20210226132245","I","2021-02-28 00:23:01.0","","326919.179811208","284356.124826399","영화상영관","","3","","","","3","","","","","","","","","","","","","","","","","","","","","영화관","","20210226","",
"3058","영화상영관","03_13_02_P","5130000","CDFF4220002021000001","20210401","","01","영업/정상","13","영업중","","","","","053-812-8970","","","경상북도 경산시 중방동 897","경상북도 경산시 대학로28길 6-5 (중방동)","38612","CGV경산 1관","20210401182131","I","2021-04-03 00:22:58.0","","356853.49186289","260604.67589327","영화상영관","","8","","","","4","4","문화시설","","","","","","","","","","","","","","","","","","","영화관","","20210401","일반상업지역",
"3059","영화상영관","03_13_02_P","5130000","CDFF4220002021000002","20210401","","01","영업/정상","13","영업중","","","","","053-812-8970","","","경상북도 경산시 중방동 897","경상북도 경산시 대학로28길 6-5 (중방동)","38612","CGV경산 2관","20210401182144","I","2021-04-03 00:22:58.0","","356853.49186289","260604.67589327","영화상영관","","8","","","","4","4","문화시설","","","","","","","","","","","","","","","","","","","영화관","","20210401","일반상업지역",
"3060","영화상영관","03_13_02_P","5130000","CDFF4220002021000003","20210401","","01","영업/정상","13","영업중","","","","","053-812-8970","","","경상북도 경산시 중방동 897","경상북도 경산시 대학로28길 6-5 (중방동)","38612","CGV경산 3관","20210401182158","I","2021-04-03 00:22:58.0","","356853.49186289","260604.67589327","영화상영관","","8","","","","4","4","문화시설","","","","","","","","","","","","","","","","","","","영화관","","20210401","일반상업지역",
"3061","영화상영관","03_13_02_P","5130000","CDFF4220002021000004","20210401","","01","영업/정상","13","영업중","","","","","053-812-8970","","","경상북도 경산시 중방동 897","경상북도 경산시 대학로28길 6-5 (중방동)","38612","CGV경산 4관","20210401182209","I","2021-04-03 00:22:58.0","","356853.49186289","260604.67589327","영화상영관","","8","","","","4","4","문화시설","","","","","","","","","","","","","","","","","","","영화관","","20210401","일반상업지역",
"3062","영화상영관","03_13_02_P","5130000","CDFF4220002021000005","20210401","","01","영업/정상","13","영업중","","","","","053-812-8970","","","경상북도 경산시 중방동 897","경상북도 경산시 대학로28길 6-5 (중방동)","38612","CGV경산 5관","20210401182222","I","2021-04-03 00:22:58.0","","356853.49186289","260604.67589327","영화상영관","","8","","","","4","4","문화시설","","","","","","","","","","","","","","","","","","","영화관","","20210401","일반상업지역",
"3063","영화상영관","03_13_02_P","5130000","CDFF4220002021000006","20210401","","01","영업/정상","13","영업중","","","","","053-812-8970","","","경상북도 경산시 중방동 897","경상북도 경산시 대학로28길 6-5 (중방동)","38612","CGV경산 6관","20210401182234","I","2021-04-03 00:22:58.0","","356853.49186289","260604.67589327","영화상영관","","8","","","","4","4","문화시설","","","","","","","","","","","","","","","","","","","영화관","","20210401","중심상업지역",
"3064","영화상영관","03_13_02_P","5250000","CDFF4220002021000001","20210421","","01","영업/정상","13","영업중","","","","","0547837053","","","경상북도 울진군 울진읍 읍내리 77-2 울진군청별관","경상북도 울진군 울진읍 울진중앙로 115-21, 울진군청별관","36323","울진작은영화관","20210524113223","U","2021-05-26 02:40:00.0","","413606.025149047","390535.820745664","영화상영관","","4","","","","4","","근린생활시설","","","","","","","","","","","","","","","","","","","영화관","","20210421","",
"3065","영화상영관","03_13_02_P","5690000","CDFF4220002011000001","20110307","","01","영업/정상","13","영업중","","","","","044-866-8702","","","세종특별자치시 조치원읍 교리 24-1 4층~6층","세종특별자치시 조치원읍 새내로 122 (4층~6층)","30024","(주)버킷스튜디오 메가박스 세종 1관","20220318151515","U","2022-03-20 02:40:00.0","","226602.7940836","344698.358734712","영화상영관","","8","기타","","","6","2","근린생활시설","1.2","","","","","","","","","","","","","","","","","","영화관","","20110307","",
"3066","영화상영관","03_13_02_P","5690000","CDFF4220002011000002","20110307","","01","영업/정상","13","영업중","","","","","044-866-8702","","","세종특별자치시 조치원읍 교리 24-1 4층~6층","세종특별자치시 조치원읍 새내로 122 (4층~6층)","30024","(주)버킷스튜디오 메가박스 세종 2관","20220318151516","U","2022-03-20 02:40:00.0","","226602.7940836","344698.358734712","영화상영관","","8","기타","","","6","2","근린생활시설","","","","","","","","","","","","","","","","","","","영화관","","20110307","",
"3067","영화상영관","03_13_02_P","5690000","CDFF4220002011000003","20110307","","01","영업/정상","13","영업중","","","","","044-866-8702","","","세종특별자치시 조치원읍 교리 24-1 4층~6층","세종특별자치시 조치원읍 새내로 122 (4층~6층)","30024","(주)버킷스튜디오 메가박스 세종 3관","20220318151516","U","2022-03-20 02:40:00.0","","226602.7940836","344698.358734712","영화상영관","","8","기타","","","6","2","근린생활시설","","","","","","","","","","","","","","","","","","","영화관","","20110307","",
"3068","영화상영관","03_13_02_P","5690000","CDFF4220002011000004","20110307","","01","영업/정상","13","영업중","","","","","044-866-8702","","","세종특별자치시 조치원읍 교리 24-1 4층~6층","세종특별자치시 조치원읍 새내로 122 (4층~6층)","30024","(주)버킷스튜디오 메가박스 세종 4관","20220318151516","U","2022-03-20 02:40:00.0","","226602.7940836","344698.358734712","영화상영관","","8","기타","","","6","2","근린생활시설","","","","","","","","","","","","","","","","","","","영화관","","20110307","",
"3069","영화상영관","03_13_02_P","5690000","CDFF4220002011000005","20110307","","01","영업/정상","13","영업중","","","","","044-866-8702","","","세종특별자치시 조치원읍 교리 24-1 4층~6층","세종특별자치시 조치원읍 새내로 122 (4층~6층)","30024","(주)버킷스튜디오 메가박스 세종 5관","20220318151516","U","2022-03-20 02:40:00.0","","226602.7940836","344698.358734712","영화상영관","","8","기타","","","6","2","근린생활시설","","","","","","","","","","","","","","","","","","","영화관","","20110307","",
"3070","영화상영관","03_13_02_P","5690000","CDFF4220002013000001","20131230","","01","영업/정상","13","영업중","","","","","","","","세종특별자치시 대평동 261-4번지","","","세종자동차극장 세종관","20180220134246","I","2018-08-31 23:59:59.0","","224272.808906209","330301.549362464","영화상영관","","","아파트지역","","","","","","","","","","","","","","","","","","","","","","","","자동차극장","","20131230","",
"3071","영화상영관","03_13_02_P","5690000","CDFF4220002013000002","20131230","","01","영업/정상","13","영업중","","","","","","","","세종특별자치시 대평동 261-4번지","","","세종자동차극장 행복관","20150728202751","I","2018-08-31 23:59:59.0","","224272.808906209","330301.549362464","영화상영관","","","아파트지역","","","","","","","","","","","","","","","","","","","","","","","","자동차극장","","20131230","",
"3072","영화상영관","03_13_02_P","5690000","CDFF4220002015000001","20151130","","01","영업/정상","13","영업중","","","","","044-868-4850","","","세종특별자치시 종촌동 673","세종특별자치시 도움1로 108, 7층 (종촌동, 몰리브)","30064","CGV 세종1관","20210428085836","U","2021-04-30 02:40:00.0","","222107.601859617","333536.037476275","영화상영관","","13","학교정화(상대)","","","8","5","문화시설","","","","","","","","","","","","","","","","","","","영화관","","20151130","근린상업지역",
"3073","영화상영관","03_13_02_P","5690000","CDFF4220002015000005","20151130","","01","영업/정상","13","영업중","","","","","044-868-4850","","","세종특별자치시 종촌동 673","세종특별자치시 도움1로 108, 8층 (종촌동, 몰리브)","30064","CGV 세종5관","20210428085727","U","2021-04-30 02:40:00.0","","222107.601859617","333536.037476275","영화상영관","","13","학교정화(상대)","","","8","5","문화시설","","","","","","","","","","","","","","","","","","","영화관","","20151130","근린상업지역",
"3074","영화상영관","03_13_02_P","5690000","CDFF4220002015000006","20151130","","01","영업/정상","13","영업중","","","","","044-868-4850","","","세종특별자치시 종촌동 673","세종특별자치시 도움1로 108, 8층 (종촌동, 몰리브)","30064","CGV 세종6관","20210428085704","U","2021-04-30 02:40:00.0","","222107.601859617","333536.037476275","영화상영관","","13","학교정화(상대)","","","8","5","문화시설","","","","","","","","","","","","","","","","","","","영화관","","20151130","근린상업지역",
"3075","영화상영관","03_13_02_P","5690000","CDFF4220002015000007","20151130","","01","영업/정상","13","영업중","","","","","044-868-4850","","","세종특별자치시 종촌동 673","세종특별자치시 도움1로 108, 8층 (종촌동, 몰리브)","30064","CGV 세종7관","20210428085638","U","2021-04-30 02:40:00.0","","222107.601859617","333536.037476275","영화상영관","","13","학교정화(상대)","","","8","5","문화시설","","","","","","","","","","","","","","","","","","","영화관","","20151130","근린상업지역",
"3076","영화상영관","03_13_02_P","4400000","CDFF4220002004000005","20041215","","01","영업/정상","13","영업중","","","","","","","","충청북도 제천시 남천동 1145번지","충청북도 제천시 의병대로18길 1  (남천동)","","메가박스제천6관","20111101113703","I","2018-08-31 23:59:59.0","","307655.548004","404401.153182","영화상영관","영화상영관","6","주택가주변","","","5","1","문화시설","","","","","","","","","","","","","","","","","","","영화관","","20041215","일반상업지역",
"3077","영화상영관","03_13_02_P","4400000","CDFF4220002004000006","20041215","","01","영업/정상","13","영업중","","","","","642-7600","","390020","충청북도 제천시 남천동 1145번지","충청북도 제천시 의병대로18길 1 (남천동)","27172","메가박스제천7관","20140109104134","I","2018-08-31 23:59:59.0","","307655.548004","404401.153182","영화상영관","영화상영관","6","주택가주변","","","5","1","문화시설","","","","","","","","","","","","","","","","","","","영화관","","20041215","일반상업지역",
"3078","영화상영관","03_13_02_P","4400000","CDFF4220002004000007","20041215","","01","영업/정상","13","영업중","","","","","642-7600","","","충청북도 제천시 남천동 1145번지","충청북도 제천시 의병대로18길 1  (남천동)","","메가박스제천8관","20111101114012","I","2018-08-31 23:59:59.0","","307655.548004","404401.153182","영화상영관","영화상영관","6","주택가주변","","","5","1","문화시설","","","","","","","","","","","","","","","","","","","영화관","","20041215","일반상업지역",
"3079","영화상영관","03_13_02_P","4400000","CDFF4220002004000002","20041215","","01","영업/정상","13","영업중","","","","","642-7600","","390020","충청북도 제천시 남천동 1145번지","충청북도 제천시 의병대로18길 1 (남천동)","27172","메가박스제천2관","20140109104039","I","2018-08-31 23:59:59.0","","307655.548004","404401.153182","영화상영관","영화상영관","6","주택가주변","","","5","1","문화시설","","","","","","","","","","","","","","","","","","","영화관","","20041215","일반상업지역",
"3080","영화상영관","03_13_02_P","4400000","CDFF4220002004000003","20041215","","01","영업/정상","13","영업중","","","","","642-7600","","","충청북도 제천시 남천동 1145번지","충청북도 제천시 의병대로18길 1  (남천동)","","메가박스제천3관","20111101113250","I","2018-08-31 23:59:59.0","","307655.548004","404401.153182","영화상영관","영화상영관","6","주택가주변","","","5","1","문화시설","","","","","","","","","","","","","","","","","","","영화관","","20041215","일반상업지역",
"3081","영화상영관","03_13_02_P","4400000","CDFF4220002004000004","20041215","","01","영업/정상","13","영업중","","","","","","","","충청북도 제천시 남천동 1145번지","충청북도 제천시 의병대로18길 1  (남천동)","","메가박스제천5관","20111101113455","I","2018-08-31 23:59:59.0","","307655.548004","404401.153182","영화상영관","영화상영관","6","주택가주변","","","5","1","문화시설","","","","","","","","","","","","","","","","","","","영화관","","20041215","일반상업지역",
"3082","영화상영관","03_13_02_P","4450000","CDFF4220002015000001","20151229","","01","영업/정상","13","영업중","","","","","","","","충청북도 진천군 진천읍 읍내리 652번지","","","메가박스 진천점 1관","20200406141722","U","2020-04-08 02:40:00.0","","239121.721347","373252.212731","영화상영관","","","","","","","","","","","","","","","","","","","","","","","","","","","영화관","","20151229","",
"3083","영화상영관","03_13_02_P","4450000","CDFF4220002015000002","20151229","","01","영업/정상","13","영업중","","","","","","","","충청북도 진천군 진천읍 읍내리 652번지","","","메가박스 진천점 2관","20200406141722","U","2020-04-08 02:40:00.0","","239121.721347","373252.212731","영화상영관","","","","","","","","","","","","","","","","","","","","","","","","","","","영화관","","20151229","",
"3084","영화상영관","03_13_02_P","4450000","CDFF4220002015000003","20151229","","01","영업/정상","13","영업중","","","","","","","","충청북도 진천군 진천읍 읍내리 652번지","","","메가박스 진천점 3관","20200406141722","U","2020-04-08 02:40:00.0","","239121.721347","373252.212731","영화상영관","","","","","","","","","","","","","","","","","","","","","","","","","","","영화관","","20151229","",
"3085","영화상영관","03_13_02_P","4450000","CDFF4220002015000004","20151229","","01","영업/정상","13","영업중","","","","","","","","충청북도 진천군 진천읍 읍내리 652번지","","","메가박스 진천점 4관","20200406141722","U","2020-04-08 02:40:00.0","","239121.721347","373252.212731","영화상영관","","","","","","","","","","","","","","","","","","","","","","","","","","","영화관","","20151229","",
"3086","영화상영관","03_13_02_P","3990000","CDFF4220002006000008","20060712","","01","영업/정상","13","영업중","","","","","031-559-1421","","","경기도 남양주시 호평동 640","경기도 남양주시 늘을2로 26 (호평동)","","메가박스 남양주 9관","20220727111757","U","2022-07-29 02:40:00.0","","221468.586010805","461438.064834388","영화상영관","영화상영관","","","","","9","","문화시설","","","","","","","","","","","","","","","","","","","영화관","","20060712","일반상업지역",
"3087","영화상영관","03_13_02_P","3990000","CDFF4220002010000001","20101223","","01","영업/정상","13","영업중","","","","","070-7465-3621","","","경기도 남양주시 진접읍 금곡리 1081-2 래일스타 10층","경기도 남양주시 진접읍 해밀예당1로 36 (래일스타 10층)","","롯데컬처웍스(주)롯데시네마진접","20211221152935","U","2021-12-23 02:40:00.0","","216390.200082474","467747.219794567","영화상영관","","13","아파트지역","","0","10","3","문화시설","0","0","0","0","","","","","","","","","","","","0","","","영화관","","20101223","일반상업지역",
"3088","영화상영관","03_13_02_P","3990000","CDFF4220002010000002","20101223","","01","영업/정상","13","영업중","","","","","070-7465-3620","","","경기도 남양주시 진접읍 금곡리 1081-2 래일스타 10층","경기도 남양주시 진접읍 해밀예당1로 36 (래일스타 10층)","","롯데컬처웍스(주)롯데시네마진접","20211221153153","U","2021-12-23 02:40:00.0","","216390.200082474","467747.219794567","영화상영관","","13","아파트지역","","0","10","3","문화시설","0","0","0","0","","","","","","","","","","","","0","","","영화관","","20101223","일반상업지역",
"3089","영화상영관","03_13_02_P","3990000","CDFF4220002010000003","20101223","","01","영업/정상","13","영업중","","","","","070-7465-3620","","","경기도 남양주시 진접읍 금곡리 1081-2 래일스타 10층","경기도 남양주시 진접읍 해밀예당1로 36 (래일스타 10층)","","롯데컬처웍스(주)롯데시네마진접","20211221153341","U","2021-12-23 02:40:00.0","","216390.200082474","467747.219794567","영화상영관","","13","","","0","10","3","문화시설","0","0","0","0","","","","","","","","","","","","0","","","영화관","","20101223","일반상업지역",
"3090","영화상영관","03_13_02_P","3990000","CDFF4220002013000001","20130625","","01","영업/정상","13","영업중","","","","","","","","경기도 남양주시 화도읍 마석우리 255-24","경기도 남양주시 화도읍 경춘로 1992","12181","롯데시네마 마석 1관","20211217090249","U","2021-12-19 02:40:00.0","","227234.544976879","460930.696005881","영화상영관","","5","기타","","0","3","2","문화시설","0","0","0","0","","","","","","","","","","","","0","","","영화관","","20130625","",
"3091","영화상영관","03_13_02_P","3990000","CDFF4220002013000002","20130625","","01","영업/정상","13","영업중","","","","","","","","경기도 남양주시 화도읍 마석우리 255-24","경기도 남양주시 화도읍 경춘로 1992","12181","롯데시네마 마석 2관","20211217090307","U","2021-12-19 02:40:00.0","","227234.544976879","460930.696005881","영화상영관","","5","","","0","3","2","문화시설","0","0","0","0","","","","","","","","","","","","0","","","영화관","","20130625","",
"3092","영화상영관","03_13_02_P","3990000","CDFF4220002014000001","20141219","","01","영업/정상","13","영업중","","","","","031-528-7481","","","경기도 남양주시 별내동 936-4번지 황산빌딩 7층","경기도 남양주시 두물로 19 (별내동, 황산빌딩 7층)","12105","메가박스 별내점(제1관)","20191119101246","U","2019-11-21 02:40:00.0","","211100.780108692","461499.258113904","영화상영관","","7","아파트지역","","","7","3","근린생활시설","","","","","","","","","","","","","","","","","","","영화관","","20141219","준주거지역",
"3093","영화상영관","03_13_02_P","3990000","CDFF4220002014000002","20141219","","01","영업/정상","13","영업중","","","","","031-528-7481","","","경기도 남양주시 별내동 936-4번지 황산빌딩 7층","경기도 남양주시 두물로 19 (별내동, 황산빌딩 7층)","12105","메가박스 별내점(제3관)","20191119101301","U","2019-11-21 02:40:00.0","","211100.780108692","461499.258113904","영화상영관","","7","","","","7","3","","","","","","","","","","","","","","","","","","","","영화관","","20141219","",
"3094","영화상영관","03_13_02_P","3990000","CDFF4220002006000007","20060712","","01","영업/정상","13","영업중","","","","","031-559-1421","","","경기도 남양주시 호평동 640","경기도 남양주시 늘을2로 26 (호평동)","","메가박스 남양주 8관","20220727111757","U","2022-07-29 02:40:00.0","","221468.586010805","461438.064834388","영화상영관","영화상영관","","","","","9","","문화시설","","","","","","","","","","","","","","","","","","","영화관","","20060712","일반상업지역",
"3095","영화상영관","03_13_02_P","3980000","CDFF4220002014000006","20141222","","01","영업/정상","13","영업중","","","","","","","","경기도 구리시 인창동 419-7 6~8층 롯데시네마 구리아울렛","경기도 구리시 동구릉로136번길 47, 6~8층 (인창동, 롯데시네마 구리아울렛)","11915","롯데시네마 구리아울렛 6관","20211223160544","U","2021-12-25 02:40:00.0","","212338.516597728","456623.179059563","영화상영관","","","","","","9","5","","","","","","","","","","","","","","","","","","","","영화관","","20141222","",
"3096","영화상영관","03_13_02_P","3980000","CDFF4220002014000007","20141222","","01","영업/정상","13","영업중","","","","","","","","경기도 구리시 인창동 419-7 6~8층 롯데시네마 구리아울렛","경기도 구리시 동구릉로136번길 47, 6~8층 (인창동, 롯데시네마 구리아울렛)","11915","롯데시네마 구리아울렛 7관","20220105163306","U","2022-01-07 02:40:00.0","","212338.516597728","456623.179059563","영화상영관","","0","","","0","9","5","","0","0","0","0","","","","","","","","","","","","0","","","영화관","","20141222","",
"3097","영화상영관","03_13_02_P","3980000","CDFF4220002014000001","20141222","","01","영업/정상","13","영업중","","","","","070-7465-2851","","","경기도 구리시 인창동 419-7 6~8층 롯데시네마 구리아울렛","경기도 구리시 동구릉로136번길 47, 6~8층 (인창동, 롯데시네마 구리아울렛)","11915","롯데시네마 구리아울렛 1관","20211228083938","U","2021-12-30 02:40:00.0","","212338.516597728","456623.179059563","영화상영관","","0","","","0","9","5","","0","0","0","0","","","","","","","","","","","","0","","","영화관","","20141222","",
"3098","영화상영관","03_13_02_P","3980000","CDFF4220002014000002","20141222","","01","영업/정상","13","영업중","","","","","","","","경기도 구리시 인창동 419-7 6~8층 롯데시네마 구리아울렛","경기도 구리시 동구릉로136번길 47, 6~8층 (인창동, 롯데시네마 구리아울렛)","11915","롯데시네마 구리아울렛 2관","20211223160639","U","2021-12-25 02:40:00.0","","212338.516597728","456623.179059563","영화상영관","","","","","","9","5","","","","","","","","","","","","","","","","","","","","영화관","","20141222","",
"3099","영화상영관","03_13_02_P","3980000","CDFF4220002014000003","20141222","","01","영업/정상","13","영업중","","","","","","","","경기도 구리시 인창동 419-7 6~8층 롯데시네마 구리아울렛","경기도 구리시 동구릉로136번길 47, 6~8층 (인창동, 롯데시네마 구리아울렛)","11915","롯데시네마 구리아울렛 3관","20211223160626","U","2021-12-25 02:40:00.0","","212338.516597728","456623.179059563","영화상영관","","","","","","9","5","문화시설","","","","","","","","","","","","","","","","","","","영화관","","20141222","",
"3100","영화상영관","03_13_02_P","3980000","CDFF4220002014000004","20141222","","01","영업/정상","13","영업중","","","","","","","","경기도 구리시 인창동 419-7 6~8층 롯데시네마 구리아울렛","경기도 구리시 동구릉로136번길 47, 6~8층 (인창동, 롯데시네마 구리아울렛)","11915","롯데시네마 구리아울렛 4관","20211223160612","U","2021-12-25 02:40:00.0","","212338.516597728","456623.179059563","영화상영관","","","","","","9","5","","","","","","","","","","","","","","","","","","","","영화관","","20141222","",
"3101","영화상영관","03_13_02_P","3980000","CDFF4220002014000005","20141222","","01","영업/정상","13","영업중","","","","","","","","경기도 구리시 인창동 419-7 6~8층 롯데시네마 구리아울렛","경기도 구리시 동구릉로136번길 47, 6~8층 (인창동, 롯데시네마 구리아울렛)","11915","롯데시네마 구리아울렛 5관","20211223160559","U","2021-12-25 02:40:00.0","","212338.516597728","456623.179059563","영화상영관","","","","","","9","5","","","","","","","","","","","","","","","","","","","","영화관","","20141222","",
"3102","영화상영관","03_13_02_P","4020000","CDFF4220002003000002","20030425","","01","영업/정상","13","영업중","","","","","031-398-4200","","","경기도 군포시 산본동 1142-2번지 4층","경기도 군포시 번영로 505, 4층 (산본동)","15865","CGV 산본(2관)","20161216105035","I","2018-08-31 23:59:59.0","","194028.371987654","428538.874931021","영화상영관","영화상영관","24","아파트지역","","","17","6","문화시설","","","","","","","","","","","","","","","","","","","영화관","","20030425","상업지역",
"3103","영화상영관","03_13_02_P","4020000","CDFF4220002003000003","20030425","","01","영업/정상","13","영업중","","","","","031-398-4200","","","경기도 군포시 산본동 1142-2번지 4층","경기도 군포시 번영로 505, 4층 (산본동)","15865","CGV 산본(3관)","20161216104822","I","2018-08-31 23:59:59.0","","194028.371987654","428538.874931021","영화상영관","영화상영관","23","아파트지역","","","17","6","문화시설","","","","","","","","","","","","","","","","","","","영화관","","20030425","상업지역",
"3104","영화상영관","03_13_02_P","4020000","CDFF4220002003000004","20030425","","01","영업/정상","13","영업중","","","","","031-398-4200","","","경기도 군포시 산본동 1142-2번지 4층","경기도 군포시 번영로 505, 4층 (산본동)","15865","CGV 산본(4관)","20161216104545","I","2018-08-31 23:59:59.0","","194028.371987654","428538.874931021","영화상영관","영화상영관","23","아파트지역","","","17","6","문화시설","","","","","","","","","","","","","","","","","","","영화관","","20030425","상업지역",
"3105","영화상영관","03_13_02_P","4020000","CDFF4220002003000005","20030425","","01","영업/정상","13","영업중","","","","","031-398-4200","","","경기도 군포시 산본동 1142-2번지 4층","경기도 군포시 번영로 505, 4층 (산본동)","15865","CGV 산본(5관)","20161216104209","I","2018-08-31 23:59:59.0","","194028.371987654","428538.874931021","영화상영관","영화상영관","23","아파트지역","","","17","6","문화시설","","","","","","","","","","","","","","","","","","","영화관","","20030425","상업지역",
"3106","영화상영관","03_13_02_P","4020000","CDFF4220002003000006","20030425","","01","영업/정상","13","영업중","","","","","031-398-4200","","","경기도 군포시 산본동 1142-2번지 4층","경기도 군포시 번영로 505, 4층 (산본동)","15865","CGV 산본(6관)","20161216103832","I","2018-08-31 23:59:59.0","","194028.371987654","428538.874931021","영화상영관","영화상영관","23","아파트지역","","","17","6","문화시설","","","","","","","","","","","","","","","","","","","영화관","","20030425","상업지역",
"3107","영화상영관","03_13_02_P","4020000","CDFF4220002016000001","20160425","","01","영업/정상","13","영업중","","","","","070-7430-9051","","","경기도 군포시 산본동 1145-6 10층","경기도 군포시 번영로 485, 10층 (산본동)","15866","롯데시네마 산본피트인(제1관)","20211215095235","U","2021-12-17 02:40:00.0","","193789.410732019","428419.578316283","영화상영관","","14","","","","10","4","문화시설","","","","","","","","","","","","","","","","","","","영화관","","20160425","일반상업지역",
"3108","영화상영관","03_13_02_P","4020000","CDFF4220002016000002","20160425","","01","영업/정상","13","영업중","","","","","070-7430-9051","","","경기도 군포시 산본동 1145-6 10층","경기도 군포시 번영로 485, 10층 (산본동)","15866","롯데시네마 산본피트인(제2관)","20211215095235","U","2021-12-17 02:40:00.0","","193789.410732019","428419.578316283","영화상영관","","14","","","","10","4","문화시설","","","","","","","","","","","","","","","","","","","영화관","","20160425","일반상업지역",
"3109","영화상영관","03_13_02_P","4020000","CDFF4220002016000003","20160425","","01","영업/정상","13","영업중","","","","","070-7430-9051","","","경기도 군포시 산본동 1145-6 10층","경기도 군포시 번영로 485, 10층 (산본동)","15866","롯데시네마 산본피트인(제3관)","20211215095235","U","2021-12-17 02:40:00.0","","193789.410732019","428419.578316283","영화상영관","","14","","","","10","4","문화시설","","","","","","","","","","","","","","","","","","","영화관","","20160425","일반상업지역",
"3110","영화상영관","03_13_02_P","4020000","CDFF4220002016000004","20160425","","01","영업/정상","13","영업중","","","","","070-7430-9051","","","경기도 군포시 산본동 1145-6 10층","경기도 군포시 번영로 485, 10층 (산본동)","15866","롯데시네마 산본피트인(제4관)","20211215095235","U","2021-12-17 02:40:00.0","","193789.410732019","428419.578316283","영화상영관","","14","","","","10","4","문화시설","","","","","","","","","","","","","","","","","","","영화관","","20160425","일반상업지역",
"3111","영화상영관","03_13_02_P","4020000","CDFF4220002016000005","20160425","","01","영업/정상","13","영업중","","","","","070-7430-9051","","","경기도 군포시 산본동 1145-6 10층","경기도 군포시 번영로 485, 10층 (산본동)","15866","롯데시네마 산본피트인(제5관)","20211215095235","U","2021-12-17 02:40:00.0","","193789.410732019","428419.578316283","영화상영관","","14","","","","10","4","문화시설","","","","","","","","","","","","","","","","","","","영화관","","20160425","일반상업지역",
"3112","영화상영관","03_13_02_P","4020000","CDFF4220002016000006","20160425","","01","영업/정상","13","영업중","","","","","070-7430-9051","","","경기도 군포시 산본동 1145-6 10층","경기도 군포시 번영로 485, 10층 (산본동)","15866","롯데시네마 산본피트인(제6관)","20211215095235","U","2021-12-17 02:40:00.0","","193789.410732019","428419.578316283","영화상영관","","14","","","","10","4","문화시설","","","","","","","","","","","","","","","","","","","영화관","","20160425","일반상업지역",
"3113","영화상영관","03_13_02_P","4020000","CDFF4220002016000007","20160425","","01","영업/정상","13","영업중","","","","","070-7430-9051","","","경기도 군포시 산본동 1145-6 10층","경기도 군포시 번영로 485, 10층 (산본동)","15866","롯데시네마 산본피트인(제7관)","20211215095236","U","2021-12-17 02:40:00.0","","193789.410732019","428419.578316283","영화상영관","","14","","","","10","4","문화시설","","","","","","","","","","","","","","","","","","","영화관","","20160425","일반상업지역",
"3114","영화상영관","03_13_02_P","3900000","CDFF4220002014000007","20141203","","01","영업/정상","13","영업중","","","","","02-6226-2701","","","경기도 광명시 일직동 500","경기도 광명시 일직로 17, 6,7층 (일직동)","14352","롯데시네마 광명아울렛 6관","20211216165737","U","2021-12-18 02:40:00.0","","189614.445275824","435789.263977272","영화상영관","","9","","","","7","2","","","","","","","","","","","","","","","","","","","","영화관","","20141203","",
"3115","영화상영관","03_13_02_P","3990000","CDFF4220002014000003","20141219","","01","영업/정상","13","영업중","","","","","031-528-7481","","","경기도 남양주시 별내동 936-4번지 황산빌딩 7층","경기도 남양주시 두물로 19 (별내동, 황산빌딩 7층)","12105","메가박스 별내점(제2관)","20191119101312","U","2019-11-21 02:40:00.0","","211100.780108692","461499.258113904","영화상영관","","7","아파트지역","","","7","3","근린생활시설","","","","","","","","","","","","","","","","","","","영화관","","20141219","준주거지역",
"3116","영화상영관","03_13_02_P","3990000","CDFF4220002016000001","20160422","","01","영업/정상","13","영업중","","","","","","","","경기도 남양주시 별내동 936-4번지 6층","경기도 남양주시 두물로 19, 6층 (별내동)","12105","메가박스 별내점 제4관","20190207105015","U","2019-02-09 02:40:00.0","","211100.780108692","461499.258113904","영화상영관","","","아파트지역","","","7","3","","","","","","","","","","","","","","","","","","","","영화관","","20160422","준주거지역",
